Datas,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)",PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB),TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C),"TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MEDIA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%)","VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s)","VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)",Unnamed: 11,"tmean, (°C)","rhmean, (%)","U2, (m/s)",lat,"lat, (rad)","elev, (m)","P, (kPa)","J, (day)","ird, (rad)","solardecli, (rad)","sunsethra, (rad)","daylighthr(N), (hour)",kRs,"Ra, (MJ m-2 day-1)","Rs, (MJ m-2 day-1)","Rso, (MJ m-2 day-1)","Rns, (MJ m-2 day-1)","delta_spv, (kPa degC-1)","es, (kPa)","ea, (kPa)","psy, (kPa degC-1)","G, (MJ m-2 day-1)","Rnl, (MJ m-2 day-1)","Rn, (MJ m-2 day-1)","Eto-HS, (mm)","Eto-PM, (mm)","Evap Equi, (mm)","Kp, tanqueCLA","Evap tanqueCLA, (mm)"
2022-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-08,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,,1007.191667,19.516667,32.3,24.4625,17.4,76.541667,46.0,9.4,2.379167,,24.85,76.541667,1.77950051565,-30.1861111,-0.526847027068,3.3,101.260997976,343.0,1.03066166658,-0.401015679689,1.81999871345,13.903766,0.19,43.714621494,32.060733752,32.7888512856,24.6867649891,0.187216609407,3.41168735732,2.61136237612,0.0673385636541,0.0,4.28348562208,20.403279367,6.75346869675,6.25903675821,17.8355655696,0.761808734433,8.21602126007
2022-12-10,0.0,1007.9375,20.85,30.1,24.445833,18.3,81.333333,55.0,9.5,2.2375,,24.2,81.333333,1.67354053069,-30.1861111,-0.526847027068,3.3,101.260997976,344.0,1.03086714233,-0.402340568154,1.82093755139,13.9109381935,0.19,43.7497750739,28.5542284092,32.8152187906,21.9867558751,0.18097760754,3.18535409469,2.59075465307,0.0673385636541,0.0,3.6334715711,18.353284304,5.92316891288,5.43589766637,17.8499082302,0.773343393681,7.02908657497
2022-12-11,0.0,1007.970833,21.216667,31.8,26.441667,22.7,74.166667,54.0,9.4,2.816667,,27.25,74.166667,2.10672911104,-30.1861111,-0.526847027068,3.3,101.260997976,345.0,1.03106347148,-0.403546234425,1.82179302298,13.9174735151,0.19,43.7821273697,25.0940730083,32.8394851477,19.3224362164,0.211846401815,3.73008128408,2.76647696479,0.0673385636541,0.0,2.92012275873,16.4023134577,5.58342067842,5.58143867449,17.8631079668,0.748035416818,7.46146311926
2022-12-12,0.0,1002.3,19.683333,37.3,24.629167,19.9,77.0,36.0,16.9,2.858333,,28.6,77.0,2.13789324054,-30.1861111,-0.526847027068,3.3,101.260997976,346.0,1.03125059585,-0.404632321238,1.82256456311,13.9233676475,0.19,43.811679184,32.8616509588,32.8616509588,25.3034712383,0.226859584591,4.35096074945,3.35023977708,0.0673385636541,0.0,3.42174643354,21.8817248047,7.95738741345,7.15513126385,17.8751651071,0.752394850657,9.50980892227
2022-12-13,6.8,1009.2375,14.308333,25.3,21.175,17.6,66.875,43.0,10.1,3.6875,,21.45,66.875,2.75806958968,-30.1861111,-0.526847027068,3.3,101.260997976,347.0,1.03142846,-0.405598506762,1.82325165944,13.9286166769,0.19,43.8384310792,23.112874783,32.8817166458,17.7969135829,0.156484534498,2.61873706667,1.75128041334,0.0673385636541,0.0,3.42645325413,14.3704603288,4.48051592938,4.91315676965,17.8860798803,0.714912892997,6.87238517836
2022-12-14,0.0,1012.225,13.395833,28.3,21.329167,14.1,64.208333,33.0,9.8,2.6875,,21.2,64.208333,2.01011851451,-30.1861111,-0.526847027068,3.3,101.260997976,348.0,1.03159701122,-0.406444504694,1.82385385359,13.9332171013,0.19,43.8623833646,31.4043637841,32.8996824407,24.1813601137,0.154404061111,2.72773490578,1.75143311166,0.0673385636541,0.0,5.36464716756,18.8167129462,6.04907549486,5.93679060679,17.8958524127,0.730605167168,8.12585357123
2022-12-15,0.0,1009.645833,16.191667,32.6,23.4375,15.4,66.0,40.0,8.4,2.2,,24.0,66.0,1.64549236537,-30.1861111,-0.526847027068,3.3,101.260997976,349.0,1.03175619956,-0.407170064348,1.82437074215,13.937165839,0.19,43.8835360846,32.9155483768,32.9155483768,25.3449722502,0.179093549026,3.33407153953,2.20048721609,0.0673385636541,0.0,5.0843733346,20.2605989156,7.13888062116,6.55063041656,17.9044827225,0.744888018946,8.79411435001
2022-12-16,0.0,1010.7625,15.804167,25.3,22.491667,19.9,66.958333,43.0,13.0,5.045833,,22.6,66.958333,3.77403621747,-30.1861111,-0.526847027068,3.3,101.260997976,350.0,1.03190597785,-0.407774970724,1.82480197761,13.9404602353,0.19,43.9018890091,19.3835664899,32.9293142815,14.9253461972,0.166362501143,2.77433667727,1.85764959091,0.0673385636541,0.0,2.49000018943,12.4353460078,3.86767035412,4.85260815731,17.9119707157,0.686030660843,7.07345667516
2022-12-17,0.0,1011.6,13.7625,25.9,20.775,14.4,65.875,40.0,13.6,3.220833,,20.15,65.875,2.40902550529,-30.1861111,-0.526847027068,3.3,101.260997976,351.0,1.03204630171,-0.408259044576,1.82514726919,13.9430980686,0.19,43.9174416249,28.2969452059,32.9409797699,21.7886478086,0.145919445915,2.4910983272,1.64101102304,0.0673385636541,0.0,4.73131156676,17.0573362418,5.3037828201,5.36070352148,17.918316183,0.722785464899,7.41672845099
2022-12-18,0.0,1013.983333,16.025,23.5,21.029167,18.5,73.125,67.0,12.8,4.525,,21.0,73.125,3.38447861513,-30.1861111,-0.526847027068,3.3,101.260997976,352.0,1.03217712956,-0.408622142462,1.82540638345,13.9450775558,0.19,43.930193129,18.6638706392,32.9505442395,14.3711803922,0.152756559919,2.5126540381,1.83737826536,0.0673385636541,0.0,2.28792601105,12.0832543812,3.57657914139,4.11382643558,17.9235187966,0.709510778429,5.79811690061
2022-12-19,4.8,1015.395833,16.7375,24.9,20.420833,18.1,79.708333,67.0,16.7,4.695833,,21.5,79.708333,3.51225334116,-30.1861111,-0.526847027068,3.3,101.260997976,353.0,1.03229842264,-0.408864156788,1.82557914491,13.9463973561,0.19,43.940142423,21.7705558448,32.9580068667,16.7633280005,0.156903459064,2.61298014899,2.08276291838,0.0673385636541,0.0,2.76457742564,13.9987505749,4.22567863931,4.19944445163,17.9275781086,0.717929655682,5.84938150751
2022-12-20,0.2,1014.270833,17.4625,27.9,22.9,18.8,72.083333,56.0,16.0,4.375,,23.35,72.083333,3.27228595386,-30.1861111,-0.526847027068,3.3,101.260997976,354.0,1.03241014499,-0.408985015841,1.82566543639,13.9470565744,0.19,43.9472881096,25.1887361943,32.9633666032,19.3953268696,0.173084159654,2.96405097619,2.13658673546,0.0673385636541,0.0,3.50147953393,15.8938473357,5.11930041232,5.31528177112,17.9304935487,0.710710063148,7.47883285565
2022-12-21,0.0,1015.429167,16.691667,28.8,22.9625,18.6,69.458333,44.0,11.5,4.275,,23.7,69.458333,3.19749084634,-30.1861111,-0.526847027068,3.3,101.260997976,355.0,1.03251226352,-0.408984683807,1.82566519931,13.9470547632,0.19,43.9516284903,26.6703464942,32.9666221752,20.5361668005,0.176298483896,3.05138277201,2.11943960689,0.0673385636541,0.0,3.85534088627,16.6808259142,5.46652266174,5.70793932248,17.932264424,0.707653768729,8.06600568627
2022-12-22,0.0,1014.729167,15.633333,28.9,23.095833,19.4,64.416667,43.0,11.4,4.375,,24.15,64.416667,3.27228595386,-30.1861111,-0.526847027068,3.3,101.260997976,356.0,1.03260474797,-0.408863160784,1.82557843383,13.9463919238,0.19,43.9531615644,25.7398210391,32.9677720819,19.8196622001,0.180505033608,3.11770908388,2.00832427859,0.0673385636541,0.0,3.82480685807,15.994855342,5.33300371709,5.9435384837,17.9328899183,0.694960871545,8.55233542932
2022-12-23,0.0,1011.858333,16.654167,32.1,23.804167,18.2,66.166667,37.0,11.0,3.295833,,25.15,66.166667,2.46512183592,-30.1861111,-0.526847027068,3.3,101.260997976,357.0,1.03268757092,-0.408620482783,1.82540519885,13.945068506,0.19,43.9518850302,31.1342570801,32.9668145971,23.9733779516,0.190156692697,3.43589898569,2.27341984032,0.0673385636541,0.0,4.64464843974,19.3287295119,6.6044411313,6.63226796607,17.9323690923,0.721799843973,9.18851399242
2022-12-24,0.0,1010.904167,16.454167,32.6,24.9625,17.1,63.291667,31.0,9.1,2.1625,,24.85,63.291667,1.61744420005,-30.1861111,-0.526847027068,3.3,101.260997976,358.0,1.03276070784,-0.408256721714,1.82514561186,13.9430854075,0.19,43.9477962871,32.874302931,32.9637477699,25.3132132569,0.187216609407,3.43421226762,2.17357019249,0.0673385636541,0.0,5.16831321463,20.1449000422,6.92484387565,6.70003948653,17.9307008851,0.739821763738,9.05628871023
2022-12-25,0.0,1012.3875,19.170833,28.2,23.133333,17.3,78.958333,57.0,12.1,3.025,,22.75,78.958333,2.26255200238,-30.1861111,-0.526847027068,3.3,101.260997976,359.0,1.03282413706,-0.407771985368,1.82479984869,13.9404439715,0.19,43.9408924397,27.5635863079,32.9585694286,21.2239614571,0.167688906641,2.89952443813,2.28941616127,0.0673385636541,0.0,3.76108315882,17.4628782983,5.52027838852,5.15160577783,17.9278841154,0.752347059439,6.84737942841
2022-12-26,0.0,1013.233333,18.033333,23.6,21.8625,21.3,79.541667,62.0,8.4,3.5875,,22.45,79.541667,2.68327448216,-30.1861111,-0.526847027068,3.3,101.260997976,360.0,1.03287783977,-0.407166417382,1.82436814307,13.9371459835,0.19,43.9311703028,12.6587345157,32.9512771843,9.74722557705,0.165044963599,2.72311399079,2.16601026259,0.0673385636541,0.0,0.845784047308,8.90144152975,2.51646314683,3.0836996995,17.9239174835,0.74134529774,4.1595997289
2022-12-27,3.8,1012.416667,14.8,27.0,21.675,15.7,67.5,39.0,8.9,2.566667,,21.35,67.5,1.91974134225,-30.1861111,-0.526847027068,3.3,101.260997976,361.0,1.03292180008,-0.406440197199,1.82385078611,13.9331936674,0.19,43.9186264088,28.0505622942,32.941868436,21.5989329665,0.155649520357,2.67453800353,1.80531315238,0.0673385636541,0.0,4.48955414857,17.1093788179,5.42385081982,5.3573782383,17.9187995748,0.740191922849,7.23782315495
2022-12-28,16.8,1008.491667,17.270833,25.7,21.15,16.5,79.875,56.0,12.7,2.875,,21.1,79.875,2.15035934111,-30.1861111,-0.526847027068,3.3,101.260997976,362.0,1.03295600494,-0.405593540014,1.82324812561,13.9285896803,0.19,43.9032570163,25.3013826452,32.9303403772,19.4820646368,0.153578443134,2.58973108034,2.06854770042,0.0673385636541,0.0,3.50785781583,15.974206821,4.86102947237,4.56003130519,17.9125288626,0.757172366816,6.02244813075
2022-12-29,0.0,1011.708333,15.004167,27.4,22.4,18.7,64.708333,35.0,9.3,3.095833,,23.05,64.708333,2.31553162089,-30.1861111,-0.526847027068,3.3,101.260997976,363.0,1.03298044422,-0.40462669671,1.82256056529,13.9233371064,0.19,43.8850581196,24.5940417031,32.9166900035,18.9374121114,0.17036851144,2.90323482003,1.87863485512,0.0673385636541,0.0,3.68702652001,15.2503855914,4.96199547786,5.31689510295,17.9051037128,0.722956753401,7.35437504102
2022-12-30,0.0,1013.508333,13.795833,31.6,23.041667,15.0,59.916667,25.0,7.7,1.954167,,23.3,59.916667,1.46162130871,-30.1861111,-0.526847027068,3.3,101.260997976,364.0,1.03299511069,-0.403539953782,1.82178856383,13.9174394497,0.19,43.8640254607,32.9009141212,32.9009141212,25.3337038733,0.172629032321,3.17684795586,1.90346141081,0.0673385636541,0.0,5.58767547481,19.7460283985,6.89274719147,6.47859907412,17.896522388,0.736603456799,8.79523305833
2022-12-31,0.0,1011.8375,17.116667,35.2,26.420833,17.6,61.083333,24.0,8.0,2.283333,,26.4,61.083333,1.70782137232,-30.1861111,-0.526847027068,3.3,101.260997976,365.0,1.033,-0.402333633258,1.82093263387,13.9109006264,0.19,43.8401545426,32.8830093572,32.8830093572,25.319917205,0.202829241073,3.84889016787,2.35103039805,0.0673385636541,0.0,4.97416019851,20.3457570065,7.62849171312,7.11843049515,17.8867830534,0.73226299266,9.72113921706
2023-01-01,0.0,1010.175,19.070833,36.0,27.133333,18.7,63.958333,39.0,10.6,2.479167,,27.35,63.958333,1.85429562317,-30.1861111,-0.526847027068,3.3,101.260997976,1.0,1.03299511069,-0.401008092595,1.8199933408,13.9037249559,0.19,43.8134406437,32.8629721699,32.8629721699,25.3044885708,0.212929061194,4.04879984085,2.58954488472,0.0673385636541,0.0,4.60953438853,20.6949541823,7.72104644183,7.2628178126,17.8758837826,0.734515324693,9.88790508304
2023-01-02,0.0,1005.779167,21.55,33.7,27.383333,23.4,71.791667,48.0,9.3,1.754167,,28.55,71.791667,1.31203109367,-30.1861111,-0.526847027068,3.3,101.260997976,2.0,1.03298044422,-0.399563724579,1.81897130153,13.8959171511,0.19,43.7838788342,26.6984744556,32.8407988617,20.5578253308,0.226288030833,4.05459029302,2.91085796138,0.0673385636541,0.0,3.07700280708,17.4808225238,6.11182039311,5.91818981503,17.8638225644,0.766205509336,7.72402409395
2023-01-03,0.0,1007.595833,18.55,28.4,24.354167,20.9,70.958333,47.0,9.8,3.758333,,24.65,70.958333,2.81104920819,-30.1861111,-0.526847027068,3.3,101.260997976,3.0,1.03295600494,-0.398000957209,1.81786718312,13.8874823078,0.19,43.751463994,22.7654805657,32.8164855921,17.5294200356,0.185277908201,3.17031688058,2.24960400927,0.0673385636541,0.0,2.94389439305,14.5855256425,4.77297231354,5.14092332807,17.8505973095,0.721698375787,7.12336829423
2023-01-04,0.0,1009.95,16.683333,31.6,24.379167,19.0,65.958333,22.0,8.1,2.208333,,25.3,65.958333,1.65172504168,-30.1861111,-0.526847027068,3.3,101.260997976,4.0,1.03292180008,-0.396320253565,1.81668170129,13.8784258937,0.19,43.7161908319,29.4836458963,32.7900283925,22.7024073402,0.191641257278,3.42287150174,2.25766898328,0.0673385636541,0.0,4.36880741688,18.3335999233,6.27614335591,6.14735333277,17.8362058594,0.744621317528,8.25567733298
