Datas,"EVAPORACAO DO PICHE, DIARIA(mm)","INSOLACAO TOTAL, DIARIO(h)","PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MAXIMA, DIARIA(°C)","TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)","TEMPERATURA MINIMA, DIARIA(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA(%)","VENTO, VELOCIDADE MEDIA DIARIA(m/s)",Unnamed: 10,"EVAPREF, DIARIA(mm)"
1961-01-01,1.0,,,28.0,23.2,20.0,82.25,64.0,1.333333,,3.91845813891
1961-01-02,1.5,,11.0,24.0,22.2,21.0,93.25,91.0,2.666667,,2.3553316821
1961-01-03,0.5,,18.5,30.0,24.2,20.0,83.0,66.0,1.333333,,4.38659702158
1961-01-04,1.5,,3.5,25.0,22.2,20.0,89.0,83.0,0.0,,3.06258105952
1961-01-05,1.0,,5.0,31.0,24.6,21.0,78.0,55.0,0.666667,,4.47147582351
1961-01-06,1.3,,1.0,29.0,24.4,21.0,83.25,83.0,1.333333,,3.98680701222
1961-01-07,1.0,,10.0,28.6,24.16,20.0,90.25,83.0,0.666667,,3.98136003717
1961-01-08,1.0,,7.3,29.0,24.08,21.0,87.25,83.0,0.666667,,3.92918731218
1961-01-09,1.5,,6.0,31.0,24.6,21.0,81.75,61.0,0.0,,4.40276043956
1961-01-10,1.3,,0.1,31.2,25.24,22.0,77.75,61.0,0.666667,,4.35707072478
1961-01-11,1.7,,1.5,30.0,24.8,20.0,82.25,70.0,0.666667,,4.34587908577
1961-01-12,1.5,,0.0,32.0,24.0,19.0,77.0,50.0,1.333333,,5.03211789838
1961-01-13,3.0,,2.0,32.0,23.84,20.2,82.5,65.0,0.666667,,4.79060727425
1961-01-14,2.0,,0.5,31.0,23.6,19.0,81.25,60.0,0.666667,,4.70595927977
1961-01-15,2.0,,0.0,33.0,26.6,20.0,67.5,66.0,1.333333,,5.25445323611
1961-01-16,3.0,,7.0,33.0,26.0,20.0,71.25,61.0,2.0,,5.35461673252
1961-01-17,3.0,,0.0,32.0,24.8,19.0,84.25,64.0,1.333333,,4.91780846474
1961-01-18,2.8,,11.0,34.0,25.6,18.0,63.5,46.0,2.0,,5.92981831359
1961-01-19,3.2,,0.0,33.0,26.0,20.0,64.5,50.0,0.666667,,5.02685977225
1961-01-20,3.2,,0.0,31.0,25.0,20.0,79.75,69.0,0.0,,4.48706409855
1961-01-21,1.8,,41.0,32.0,22.52,19.0,87.25,66.0,1.333333,,4.85732533572
1961-01-22,2.0,,21.4,33.0,25.4,19.0,78.25,61.0,2.0,,5.26073752953
1961-01-23,3.0,,0.0,31.0,24.6,19.0,79.5,66.0,1.333333,,4.71934231326
1961-01-24,2.5,,3.5,31.2,24.64,19.0,77.75,61.0,0.666667,,4.70536178901
1961-01-25,2.0,,0.0,31.0,24.6,21.0,82.75,65.0,0.666667,,4.3777779906
1961-01-26,2.0,,15.0,30.0,24.12,20.0,75.5,65.0,1.333333,,4.40861744363
1961-01-27,4.0,,0.0,24.0,21.4,19.0,81.25,69.0,2.0,,3.09300967324
1961-01-28,1.5,,0.0,26.0,21.8,19.0,83.0,69.0,1.333333,,3.49344617691
1961-01-29,2.0,,4.0,27.0,22.0,19.0,89.25,84.0,0.666667,,3.66156190787
1961-01-30,1.0,,5.0,31.0,24.2,19.0,79.75,70.0,1.333333,,4.66894439732
1961-01-31,2.5,,0.0,31.2,25.04,19.0,78.25,61.0,1.333333,,4.72586019663
1961-02-01,3.0,,9.0,33.0,25.0,19.0,77.75,61.0,0.0,,4.96459688943
1961-02-02,3.0,,0.0,34.2,25.24,18.0,75.75,52.0,1.0,,5.45822011536
1961-02-03,7.5,,1.5,34.0,25.4,19.0,72.0,37.0,0.666667,,5.24901754018
1961-02-04,3.0,,0.0,35.0,25.4,19.0,75.25,51.0,0.666667,,5.46795888739
1961-02-05,5.9,,21.5,31.6,24.72,20.0,82.25,64.0,1.333333,,4.6066526881
1961-02-06,2.6,,0.0,34.0,24.8,20.0,72.5,61.0,0.666667,,5.11196208753
1961-02-07,3.0,,0.0,35.0,26.8,19.0,63.75,51.0,0.666667,,5.40282749741
1961-02-08,3.5,,0.0,34.0,25.6,21.0,74.0,50.0,0.666667,,4.97729442976
1961-02-09,2.5,,30.2,33.0,24.8,20.0,79.25,51.0,0.0,,4.77817275106
1961-02-10,3.0,,10.5,28.0,24.2,21.0,79.75,70.0,0.0,,3.4524012738
1961-02-11,2.0,,1.0,32.0,24.8,21.0,84.0,63.0,1.333333,,4.49477922351
1961-02-12,1.0,,20.4,27.0,22.48,18.0,87.25,76.0,0.0,,3.73086156332
1961-02-13,1.0,,,23.0,20.2,15.0,93.5,91.0,0.666667,,3.19782079273
1961-02-14,0.5,,44.5,28.0,20.4,17.0,91.25,88.0,0.666667,,4.01308822137
1961-02-15,5.5,,0.0,26.0,21.2,15.0,78.25,73.0,1.666667,,3.93184934741
1961-02-16,2.0,,0.0,29.0,22.4,15.0,82.5,65.0,2.0,,4.42912520938
1961-02-17,2.5,,10.6,26.0,21.88,19.4,87.25,69.0,0.666667,,3.22267851135
1961-02-18,1.8,,14.2,27.0,22.6,20.0,85.75,70.0,1.666667,,3.38565259449
1961-02-19,1.2,,5.8,29.0,23.08,19.0,87.25,83.0,1.666667,,3.91880038775
1961-02-20,2.0,,85.6,30.0,23.12,17.0,78.0,54.0,1.666667,,4.49330914896
1961-02-21,3.5,,5.4,31.0,22.72,12.6,83.75,70.0,1.333333,,4.90498480062
1961-02-22,0.5,,5.0,28.0,23.0,18.0,85.5,76.0,1.666667,,3.81875057131
1961-02-23,0.5,,38.6,27.0,22.52,20.2,89.5,76.0,0.666667,,3.25531571902
1961-02-24,1.0,,32.5,27.0,23.2,20.0,89.25,84.0,0.0,,3.29841552924
1961-02-25,1.0,,1.1,31.0,24.6,20.0,82.25,70.0,2.0,,4.28179259302
1961-02-26,2.0,,0.0,27.0,23.6,20.0,83.25,76.0,0.0,,3.23907778911
1961-02-27,2.5,,0.0,28.0,23.6,20.0,85.25,76.0,2.666667,,3.55316958215
1961-02-28,1.6,,1.0,29.0,24.2,21.0,86.25,63.0,0.666667,,3.55645183639
1961-03-01,1.4,,1.5,31.0,23.48,20.0,84.5,65.0,0.0,,4.1038289101
1961-03-02,1.0,,4.5,31.0,24.2,19.0,81.0,65.0,0.0,,4.17181764661
1961-03-03,2.3,,,33.0,24.2,17.0,78.75,57.0,1.0,,4.84830574681
1961-03-04,3.0,,0.0,33.0,23.8,16.0,69.5,40.0,0.0,,4.66999919975
1961-03-05,3.2,,0.0,30.0,22.88,17.0,90.75,83.0,3.0,,3.94698387561
1961-03-06,2.5,,50.2,28.0,22.76,20.0,87.5,77.0,0.666667,,3.38773680382
1961-03-07,1.0,,22.7,27.0,23.4,22.0,87.25,76.0,0.0,,2.78051826621
1961-03-08,1.0,,5.6,26.0,22.88,20.0,87.25,83.0,0.0,,2.89960957269
1961-03-09,1.0,,20.5,28.0,23.4,22.0,85.25,76.0,0.666667,,3.04734455364
1961-03-10,1.5,,6.0,33.0,25.6,20.0,79.75,67.0,0.0,,4.30941435873
1961-03-11,2.5,,0.0,33.0,25.92,20.0,76.25,57.0,0.666667,,4.37872283269
1961-03-12,2.0,,0.0,33.0,25.0,21.0,77.75,62.0,1.0,,4.31239880215
1961-03-13,2.0,,12.8,32.0,25.2,19.0,78.25,61.0,1.0,,4.28218555757
1961-03-14,2.5,,0.0,32.0,24.8,20.0,76.75,65.0,1.0,,4.17792569308
1961-03-15,2.5,,26.0,32.0,24.28,21.0,86.25,66.0,1.0,,3.98012302443
1961-03-16,1.5,,15.2,32.0,24.4,20.0,80.0,62.0,1.666667,,4.19471256302
1961-03-17,2.5,,,31.0,25.0,20.0,81.75,76.0,1.0,,3.88140730089
1961-03-18,2.0,,3.0,30.0,24.6,21.0,79.25,65.0,0.666667,,3.52148928752
