Datas,"EVAPORACAO DO PICHE, DIARIA(mm)","INSOLACAO TOTAL, DIARIO(h)","PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MAXIMA, DIARIA(°C)","TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)","TEMPERATURA MINIMA, DIARIA(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA(%)","VENTO, VELOCIDADE MEDIA DIARIA(m/s)",Unnamed: 10,"EVAPREF, DIARIA(mm)"
1961-01-01,0.8,,,30.0,26.6,23.6,81.75,70.0,0.0,,4.2368147592
1961-01-02,1.0,,1.3,29.5,26.4,24.3,85.5,77.0,0.0,,3.89311687725
1961-01-03,1.6,,0.0,29.1,25.98,24.2,84.0,70.0,0.0,,3.75887833515
1961-01-04,2.3,,0.0,28.5,25.6,22.5,84.5,77.0,0.0,,4.02086987651
1961-01-05,1.8,,0.0,27.6,25.58,23.9,84.0,76.0,0.0,,3.25958684054
1961-01-06,1.8,,0.0,31.5,26.64,23.6,81.75,72.0,0.0,,4.73001477016
1961-01-07,2.0,,6.0,29.5,26.88,25.3,80.5,73.0,0.8,,3.66045096351
1961-01-08,2.2,,0.0,27.7,25.68,24.2,87.0,75.0,0.0,,3.20251862442
1961-01-09,1.5,,2.0,29.0,25.96,23.5,87.75,83.0,0.0,,3.93967236022
1961-01-10,1.7,,0.0,30.1,26.3,23.9,88.0,76.0,0.0,,4.22589895068
1961-01-11,1.3,,8.4,29.5,26.0,23.2,86.75,77.0,0.0,,4.18381311641
1961-01-12,1.5,,0.0,30.3,25.88,23.7,90.75,86.0,0.0,,4.36671199688
1961-01-13,1.6,,7.0,30.5,25.64,22.3,79.75,72.0,0.8,,4.72489104323
1961-01-14,2.6,,0.0,31.5,25.64,21.5,78.0,65.0,0.0,,5.07699773373
1961-01-15,3.0,,0.0,32.0,27.14,22.5,75.5,64.0,0.0,,4.99964586032
1961-01-16,3.8,,0.0,33.5,28.4,23.4,70.25,63.0,0.0,,5.19495530176
1961-01-17,4.7,,0.0,34.9,29.04,24.5,68.75,54.0,0.0,,5.37722538623
1961-01-18,5.5,,0.0,36.5,30.34,27.3,68.75,53.0,0.0,,5.30681748207
1961-01-19,4.3,,0.0,31.0,27.48,25.6,80.25,79.0,0.0,,3.97143658334
1961-01-20,2.2,,0.0,30.8,27.08,23.3,79.0,72.0,0.0,,4.47399408056
1961-01-21,3.8,,0.0,31.6,27.48,24.0,74.75,65.0,0.0,,4.51819212649
1961-01-22,3.3,,0.0,34.0,27.94,24.4,75.0,65.0,0.0,,5.18545598059
1961-01-23,4.4,,1.0,28.3,26.1,25.3,87.5,81.0,0.0,,2.99588124974
1961-01-24,1.9,,0.0,30.5,26.64,23.9,84.0,75.0,0.0,,4.25684911918
1961-01-25,2.3,,0.0,29.9,25.52,23.5,88.0,82.0,0.0,,4.18176014715
1961-01-26,1.0,,61.0,25.5,23.76,22.5,89.5,84.0,0.0,,2.8348853347
1961-01-27,1.1,,10.0,24.1,22.4,21.3,95.5,89.0,0.0,,2.69771846475
1961-01-28,0.9,,53.0,24.5,22.86,21.4,96.5,94.0,0.0,,2.82898034911
1961-01-29,0.8,,12.0,26.4,23.88,21.5,93.5,89.0,0.0,,3.50400702791
1961-01-30,1.2,,4.0,28.5,24.88,22.5,95.0,93.0,0.0,,3.97388740341
1961-01-31,1.8,,12.0,27.4,25.0,23.0,90.5,84.0,0.0,,3.40045939961
1961-02-01,1.1,,1.3,30.1,26.14,23.5,91.5,85.0,0.0,,4.22586226444
1961-02-02,1.3,,1.0,30.5,26.74,23.5,85.0,77.0,0.0,,4.28976164265
1961-02-03,1.8,,0.0,31.5,27.02,24.5,89.0,84.0,0.0,,4.41566919463
1961-02-04,1.0,,9.3,29.0,25.82,23.6,89.0,84.0,0.0,,3.76964410788
1961-02-05,1.2,,0.0,28.9,25.76,23.5,87.0,78.0,0.0,,3.7379184009
1961-02-06,1.0,,0.0,31.7,27.36,23.7,82.0,73.0,0.0,,4.55662395717
1961-02-07,2.8,,0.0,32.5,27.78,24.9,77.25,71.0,0.8,,4.63653748383
1961-02-08,3.0,,0.0,31.7,27.32,23.9,83.0,72.0,0.0,,4.50145312799
1961-02-09,2.5,,0.0,29.5,26.74,24.2,83.75,77.0,0.8,,3.7628027695
1961-02-10,1.3,,22.0,28.3,25.46,23.4,90.25,84.0,0.0,,3.5289162886
1961-02-11,1.2,,0.0,31.5,27.34,23.0,82.25,74.0,0.0,,4.58063289897
1961-02-12,2.0,,5.5,28.5,24.94,22.4,88.0,79.0,0.8,,3.80493423014
1961-02-13,1.4,,9.5,25.0,22.48,21.0,94.75,94.0,0.0,,3.03409958221
1961-02-14,0.9,,14.5,23.0,20.84,19.5,95.75,93.0,0.0,,2.75535693928
1961-02-15,0.7,,12.2,23.0,21.56,19.8,94.25,90.0,0.0,,2.64956874099
1961-02-16,0.8,,1.8,26.8,23.64,21.0,91.25,84.0,0.0,,3.58638084546
1961-02-17,1.2,,0.0,28.5,24.9,22.6,87.25,81.0,0.0,,3.70698973511
1961-02-18,1.5,,0.0,28.6,25.1,22.4,89.0,82.0,0.0,,3.78739395316
1961-02-19,1.3,,0.0,29.0,25.1,22.0,83.5,78.0,0.0,,3.93804178732
1961-02-20,2.0,,0.0,29.5,25.44,22.3,85.5,73.0,0.0,,4.02900600889
1961-02-21,2.2,,0.0,32.0,26.88,22.5,81.75,78.0,0.0,,4.66125985854
1961-02-22,3.0,,0.0,32.3,27.3,23.8,78.5,73.0,0.0,,4.44879205287
1961-02-23,2.7,,0.0,31.4,25.66,23.2,87.5,78.0,0.0,,4.38979824075
1961-02-24,1.8,,4.8,30.0,26.0,22.4,85.75,79.0,0.0,,4.0976133541
1961-02-25,1.7,,0.0,33.7,28.08,23.8,75.25,75.0,0.0,,4.74941441816
1961-02-26,4.0,,0.0,34.7,29.1,25.0,69.75,59.0,0.8,,5.00219039667
1961-02-27,5.9,,0.0,35.5,29.34,26.3,76.0,66.0,0.0,,4.78954903521
1961-02-28,4.1,,0.0,29.9,27.02,25.3,84.25,81.0,0.0,,3.3055240984
1961-03-01,2.0,,1.9,26.5,23.82,22.3,96.0,87.0,0.0,,3.02082370003
1961-03-02,1.0,,93.0,26.3,23.12,21.8,84.25,72.0,0.0,,3.01175945375
1961-03-03,1.0,,0.0,27.3,23.56,19.5,82.5,76.0,0.0,,3.73819682104
1961-03-04,1.6,,0.0,28.5,24.36,20.4,85.0,74.0,0.0,,3.90267080893
1961-03-05,1.4,,0.0,30.5,26.42,23.2,81.5,73.0,0.0,,3.88302274788
1961-03-06,4.0,,0.0,28.3,25.32,23.2,84.0,75.0,0.0,,3.23512294306
1961-03-07,1.0,,0.0,26.0,24.24,23.0,92.25,87.0,0.0,,2.53745755618
1961-03-08,0.9,,7.2,29.5,25.7,22.6,86.75,71.0,0.0,,3.71154493935
1961-03-09,1.3,,0.0,29.5,26.02,23.4,85.0,76.0,0.0,,3.51127852897
1961-03-10,1.8,,0.0,30.2,26.48,23.4,87.0,83.0,0.0,,3.71627057348
1961-03-11,2.0,,0.0,31.0,26.7,23.5,86.75,79.0,0.0,,3.90466591171
1961-03-12,1.5,,0.0,31.5,27.14,25.2,88.75,79.0,0.0,,3.69818733408
1961-03-13,1.3,,54.0,32.7,27.18,21.7,84.75,76.0,0.0,,4.59049351026
1961-03-14,1.8,,1.8,31.6,27.12,24.5,84.5,84.0,0.0,,3.79467805382
1961-03-15,2.4,,0.0,30.4,27.06,24.3,83.75,68.0,0.0,,3.46002879016
1961-03-16,2.0,,0.0,32.7,27.92,24.5,82.0,69.0,0.0,,4.03270061798
1961-03-17,3.6,,0.0,34.5,29.68,27.4,75.75,62.0,0.0,,3.88364932405
1961-03-18,3.4,,0.0,31.0,26.84,25.1,87.0,75.0,0.0,,3.43427406609
1961-03-19,1.7,,2.8,29.7,26.52,24.5,88.25,81.0,0.0,,3.16773168062
1961-03-20,1.8,,1.0,30.1,26.64,23.7,85.25,78.0,0.0,,3.41211389787
1961-03-21,2.0,,0.0,31.5,27.4,23.8,83.0,72.0,0.0,,3.72927879931
1961-03-22,2.1,,0.0,30.8,27.14,24.9,86.0,84.0,0.0,,3.32995710958
1961-03-23,2.2,,0.0,30.0,26.5,23.7,85.5,78.0,0.0,,3.324740571
1961-03-24,2.2,,0.0,31.0,26.84,23.6,80.75,79.0,0.0,,3.54004810208
1961-03-25,2.6,,0.0,30.4,26.28,22.7,76.5,68.0,0.0,,3.47028504915
1961-03-26,2.8,,0.0,31.5,26.2,23.3,82.75,76.0,0.8,,3.78505888588
1961-03-27,2.7,,13.0,26.3,22.96,20.3,79.0,78.0,0.0,,2.86764223041
1961-03-28,1.2,,10.8,24.5,21.34,18.4,81.5,71.0,0.0,,2.76008395005
1961-03-29,1.3,,5.6,25.0,21.28,18.3,80.0,70.0,0.0,,2.85301821648
1961-03-30,1.2,,4.8,25.9,21.68,18.5,82.75,71.0,0.0,,3.0159863966
1961-03-31,1.1,,0.0,26.5,22.42,19.3,81.5,69.0,0.0,,3.00135095849
1961-04-01,2.2,,0.0,28.4,23.38,18.8,77.0,70.0,0.0,,3.39044120485
1961-04-02,2.5,,0.0,31.0,24.8,20.1,73.0,55.0,0.0,,3.69205167024
1961-04-03,3.6,,0.0,32.8,26.58,21.6,72.75,64.0,0.0,,3.86674057935
1961-04-04,4.4,,0.0,33.1,28.24,23.4,72.5,61.0,0.0,,3.68537705201
1961-04-05,4.0,,0.0,31.0,25.98,23.0,84.0,66.0,0.0,,3.38524451421
1961-04-06,2.2,,32.9,28.6,25.34,21.5,85.0,78.0,0.0,,3.04180533376
1961-04-07,0.8,,46.0,25.2,22.9,21.7,97.5,89.0,0.0,,2.2185354499
