Datas,"EVAPORACAO DO PICHE, DIARIA(mm)","INSOLACAO TOTAL, DIARIO(h)","PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MAXIMA, DIARIA(°C)","TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)","TEMPERATURA MINIMA, DIARIA(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA(%)","VENTO, VELOCIDADE MEDIA DIARIA(m/s)",Unnamed: 10,"EVAPREF, DIARIA(mm)"
1978-08-10,7.7,10.5,0.0,35.4,26.5,18.1,52.5,31.0,1.933333,,5.28619964313
1978-08-11,8.5,10.9,0.0,35.4,26.48,18.5,51.75,28.0,2.366667,,5.66321180605
1978-08-12,9.0,10.8,0.0,35.7,27.18,22.6,48.75,26.0,2.0,,5.66992481067
1978-08-13,8.2,10.7,0.0,35.6,26.18,18.4,45.25,26.0,2.133333,,5.66288408755
1978-08-14,8.3,10.6,0.0,36.3,25.5,17.0,48.5,25.0,1.733333,,5.34587242667
1978-08-15,7.9,10.0,0.0,34.6,26.04,18.0,56.25,37.0,1.666667,,4.96914687369
1978-08-16,6.8,10.2,0.0,35.2,27.0,20.4,50.75,30.0,2.5,,5.75940028338
1978-08-17,8.0,10.8,0.0,34.9,26.32,19.0,46.0,29.0,2.733333,,6.07589186293
1978-08-18,8.8,9.4,0.0,34.2,27.16,21.3,50.75,35.0,2.866667,,5.78957648728
1978-08-19,9.4,10.0,0.0,33.6,26.86,22.8,50.25,34.0,3.033333,,6.029332024
1978-08-20,9.4,9.4,0.0,33.1,26.64,21.7,45.25,32.0,2.9,,5.92262884213
1978-08-21,9.9,10.9,0.0,34.2,25.64,19.9,47.75,27.0,1.766667,,5.4343081314
1978-08-22,8.1,10.9,0.0,34.9,25.66,16.2,45.75,26.0,2.7,,6.05539540378
1978-08-23,8.0,10.4,0.0,35.5,26.66,18.1,50.5,29.0,2.533333,,5.8682370246
1978-08-24,8.3,10.7,0.0,35.5,26.54,18.6,50.5,28.0,2.433333,,5.89535312614
1978-08-25,7.9,10.1,0.0,35.8,26.88,18.8,47.25,29.0,3.166667,,6.39467689463
1978-08-26,9.0,10.9,0.0,34.6,26.52,18.8,43.75,28.0,3.2,,6.54991880363
1978-08-27,9.8,10.8,0.0,36.1,25.82,17.4,45.25,22.0,1.9,,5.73161649491
1978-08-28,8.1,10.9,0.0,35.8,26.48,16.8,48.0,28.0,2.066667,,5.78392518359
1978-08-29,8.4,11.0,0.0,35.8,27.44,19.7,53.75,33.0,1.633333,,5.55637933581
1978-08-30,7.7,10.9,0.0,35.7,28.44,21.1,51.0,36.0,1.266667,,5.38136790449
1978-08-31,7.5,10.6,0.0,35.8,28.08,21.3,54.25,34.0,1.9,,5.71420989021
1978-09-01,6.9,10.0,0.0,34.4,28.1,21.4,57.75,42.0,1.766667,,5.34915690625
