Datas,"EVAPORACAO DO PICHE, DIARIA(mm)","INSOLACAO TOTAL, DIARIO(h)","PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MAXIMA, DIARIA(°C)","TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)","TEMPERATURA MINIMA, DIARIA(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA(%)","VENTO, VELOCIDADE MEDIA DIARIA(m/s)",Unnamed: 10,"tmean, (°C)","rhmean, (%)","U2, (m/s)",lat,"lat, (rad)","elev, (m)","P, (kPa)","J, (day)","ird, (rad)","solardecli, (rad)","sunsethra, (rad)","daylighthr(N), (hour)",kRs,"Ra, (MJ m-2 day-1)","Rs, (MJ m-2 day-1)","Rso, (MJ m-2 day-1)","Rns, (MJ m-2 day-1)","delta_spv, (kPa degC-1)","es, (kPa)","ea, (kPa)","psy, (kPa degC-1)","G, (MJ m-2 day-1)","Rnl, (MJ m-2 day-1)","Rn, (MJ m-2 day-1)","Eto-HS, (mm)","Eto-PM, (mm)","Evap Equi, (mm)","Kp, tanqueCLA","Evap tanqueCLA, (mm)"
1976-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-01,4.6,9.1,,,,,66.75,53.0,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-02,5.3,7.6,0.0,,,,68.5,56.0,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-03,3.7,3.3,0.0,,,,63.75,54.0,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-04,3.8,0.6,0.0,,,,70.5,62.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-05,1.5,0.0,7.3,,,,94.25,73.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-06,0.1,3.0,24.1,,,,84.75,70.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-07,2.8,9.8,0.0,,,,76.25,52.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-08,3.1,10.1,0.0,,,,68.5,49.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-09,2.7,10.4,0.0,,,,66.75,42.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-10,3.0,10.8,0.0,,,,61.0,42.0,0.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-11,5.3,10.9,0.0,,,,71.0,61.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-12,5.8,9.7,0.0,,,,69.25,48.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-13,3.7,9.3,0.0,,,,73.0,52.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-14,3.9,8.2,5.0,,,,69.5,48.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-15,4.4,3.1,0.0,,,,72.75,60.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-16,2.5,9.9,0.0,,,,68.75,49.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-17,5.3,10.9,0.0,,,,68.5,51.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-18,4.0,10.2,0.0,,,,65.5,41.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-19,5.4,10.2,0.0,,,,62.25,46.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-20,4.8,3.3,0.0,,,,66.5,54.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-21,3.8,3.3,0.0,,,,65.5,51.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-22,4.5,1.1,48.0,,,,76.0,63.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-23,1.5,10.5,0.4,,,,66.75,59.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-24,5.9,10.4,0.0,,,,67.25,49.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-25,3.4,10.5,0.0,,,,70.25,56.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-26,3.6,10.2,0.0,,,,67.5,47.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-27,4.2,9.6,0.0,,,,61.75,44.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-28,5.4,10.1,0.0,,,,63.0,46.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-29,6.0,3.2,0.0,,,,69.0,52.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-30,4.2,2.8,0.0,,,,72.75,61.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-31,1.5,3.4,0.0,,,,64.25,58.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-01,2.4,5.1,0.0,,,,66.75,53.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-02,4.5,9.9,0.0,,,,68.5,52.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-03,2.2,10.4,0.0,,,,64.75,54.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-04,4.0,9.0,0.0,,,,65.25,57.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-05,5.6,10.3,0.0,,,,64.75,46.0,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-06,4.9,9.9,0.0,,,,59.75,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-07,5.2,10.0,0.0,,,,65.75,49.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-08,2.8,9.0,0.0,,,,61.75,47.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-09,5.0,10.5,0.0,,,,57.25,42.0,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-10,4.6,10.4,0.0,,,,58.5,44.0,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-11,6.5,10.3,0.0,,,,61.75,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-12,3.7,11.2,0.0,,,,58.25,42.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-13,5.2,10.0,0.0,,,,63.0,50.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-14,2.9,9.9,0.0,,,,60.5,38.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-15,4.9,9.5,0.0,,,,57.5,37.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-16,3.3,8.7,0.0,,,,56.75,43.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-17,5.3,9.8,0.0,,,,55.75,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-18,5.3,10.0,0.0,,,,49.75,40.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-19,5.7,10.3,0.0,,,,51.25,38.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-20,4.4,9.9,0.0,,,,55.75,41.0,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-21,5.2,10.0,0.0,,,,56.75,45.0,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-22,5.7,10.0,0.0,,,,56.75,45.0,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-23,4.6,7.9,0.0,,,,63.5,49.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-24,4.3,8.7,0.0,,,,56.75,44.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-25,4.9,10.0,0.0,,,,61.75,46.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-26,5.7,8.4,0.0,,,,55.75,50.0,0.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-27,4.9,5.3,0.0,,,,48.75,45.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-28,4.2,3.7,0.0,,,,51.0,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-29,4.3,8.6,0.0,,,,50.25,36.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-30,7.2,4.2,0.0,,,,54.0,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-01,4.4,10.1,0.0,,,,59.25,48.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-02,3.6,7.1,0.0,,,,61.75,50.0,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-03,5.0,10.2,0.0,,,,60.5,45.0,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-04,6.9,8.1,0.0,,,,64.25,50.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-05,4.0,9.1,0.0,,,,63.5,49.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-06,3.9,9.7,0.0,,,,56.25,43.0,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-07,6.1,9.9,0.0,,,,55.0,38.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-08,5.5,9.9,0.0,,,,56.75,40.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-09,5.5,10.1,0.0,,,,56.25,39.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-10,5.7,10.1,0.0,,,,56.0,43.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-11,6.4,8.8,0.0,,,,57.0,45.0,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-12,7.2,8.9,0.0,,,,58.5,43.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-13,3.9,10.4,0.0,,,,64.5,46.0,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-14,5.9,9.5,0.0,,,,54.25,46.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-15,5.7,10.1,,,,,52.25,33.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-16,5.9,9.5,0.0,,,,55.5,43.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-17,5.7,8.1,0.0,,,,56.5,43.0,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-18,5.8,10.0,0.0,,,,56.0,48.0,3.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-19,4.5,9.4,0.0,,,,55.5,42.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-20,6.2,3.7,0.0,,,,67.75,54.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-21,3.4,7.5,1.5,,,,66.25,52.0,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-22,3.8,4.1,0.0,,,,61.0,49.0,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-23,4.2,9.8,0.0,,,,55.75,41.0,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-24,4.9,10.6,0.0,,,,54.5,40.0,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-25,6.3,7.8,0.0,,,,52.25,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-26,4.6,6.3,0.0,,,,55.0,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-27,6.3,10.6,0.0,,,,48.75,38.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-28,4.6,10.6,0.0,,,,54.5,39.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-29,5.5,10.7,0.0,,,,55.5,41.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-30,5.8,10.7,0.0,,,,54.5,37.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
